Pair,SSIM,Category,Sub-Category,Timestamp
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/images/image/plot_0_1_display_image_of_matrix_data_montage.png,0.7982111223574001,images,image,2021-08-20 14:11:28
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/images/imagesc/plot_0_0_display_image_of_matrix_data_montage.png,0.7982111223574001,images,imagesc,2021-08-20 14:11:31
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/geographic-plots/geoplot/plot_2_1_customize_individual_lines_on_map_montage.png,0.7987141716315428,geographic-plots,geoplot,2021-08-20 14:11:25
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/geographic-plots/geoplot/plot_2_0_customize_individual_lines_on_map_montage.png,0.8066764429830969,geographic-plots,geoplot,2021-08-20 14:11:24
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/discrete-data-plots/stem/plot_8_0_specify_axes_for_stem_plot_montage.png,0.8094270989580571,discrete-data-plots,stem,2021-08-20 14:11:15
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/geographic-plots/geoplot/plot_3_0_use_chart_line_properties_to_customize_appearance_o_montage.png,0.8162826618714413,geographic-plots,geoplot,2021-08-20 14:11:25
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/geographic-plots/geoplot/plot_1_1_add_text_to_geographic_plot_montage.png,0.8174369838790632,geographic-plots,geoplot,2021-08-20 14:11:24
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/discrete-data-plots/stem3/plot_9_0_stem_plot_in_specific_axes_montage.png,0.8198341032546346,discrete-data-plots,stem3,2021-08-20 14:11:21
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/geographic-plots/geoplot/plot_4_0_change_basemap_used_in_geographic_plot_montage.png,0.8202826711424231,geographic-plots,geoplot,2021-08-20 14:11:26
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/geographic-plots/geoplot/plot_0_0_create_geographic_plot_montage.png,0.8220144398439332,geographic-plots,geoplot,2021-08-20 14:11:23
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/geographic-plots/geoplot/plot_1_0_add_text_to_geographic_plot_montage.png,0.8220144398439332,geographic-plots,geoplot,2021-08-20 14:11:24
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/discrete-data-plots/stem/plot_4_0_plot_multiple_data_series_at_unique_sets_of_x_value_montage.png,0.8498692754192236,discrete-data-plots,stem,2021-08-20 14:11:14
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/images/image/plot_1_0_control_image_placement_montage.png,0.854217519868515,images,image,2021-08-20 14:11:28
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/discrete-data-plots/stem/plot_6_0_specify_stem_and_marker_options_montage.png,0.8621887202166867,discrete-data-plots,stem,2021-08-20 14:11:14
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/line-plots/area/plot_5_1_plot_filled_area_into_target_axes_montage.png,0.8638529676788685,line-plots,area,2021-08-20 14:11:36
